Method,Exam_Score,Bug Type
sbfl barinel,0.819393382353,Artificial
sbfl tarantula,0.819393382353,Artificial
sbfl ochiai,0.819393382353,Artificial
mbfl muse,0.000460193281178,Real
mbfl ochiai,0.000690289921767,Real
sbfl opt2,0.000920386562356,Real
sbfl dstar2,0.000920386562356,Real
sbfl barinel,0.000920386562356,Real
sbfl tarantula,0.000920386562356,Real
sbfl ochiai,0.000920386562356,Real
mbfl muse,0.000172398931127,Artificial
mbfl ochiai,0.000172398931127,Artificial
sbfl opt2,0.000387897595035,Artificial
sbfl dstar2,0.000387897595035,Artificial
sbfl barinel,0.000387897595035,Artificial
sbfl tarantula,0.000387897595035,Artificial
sbfl ochiai,0.000387897595035,Artificial
mbfl muse,0.0153846153846,Artificial
mbfl ochiai,0.0230769230769,Artificial
sbfl opt2,0.0384615384615,Artificial
sbfl dstar2,0.0384615384615,Artificial
sbfl barinel,0.0384615384615,Artificial
sbfl tarantula,0.0384615384615,Artificial
sbfl ochiai,0.0384615384615,Artificial
mbfl muse,0.000843170320405,Artificial
mbfl ochiai,0.00590219224283,Artificial
sbfl opt2,0.00801011804384,Artificial
sbfl dstar2,0.00801011804384,Artificial
sbfl barinel,0.00801011804384,Artificial
sbfl tarantula,0.00801011804384,Artificial
sbfl ochiai,0.00801011804384,Artificial
mbfl muse,0.427480916031,Real
mbfl ochiai,0.00572519083969,Real
sbfl opt2,0.0143129770992,Real
sbfl dstar2,0.0143129770992,Real
sbfl barinel,0.0143129770992,Real
sbfl tarantula,0.0143129770992,Real
sbfl ochiai,0.0143129770992,Real
mbfl muse,0.00238095238095,Real
mbfl ochiai,0.0238095238095,Real
sbfl opt2,0.136904761905,Real
sbfl dstar2,0.113095238095,Real
sbfl barinel,0.0440476190476,Real
sbfl tarantula,0.0440476190476,Real
sbfl ochiai,0.0202380952381,Real
mbfl muse,0.000129299198345,Artificial
mbfl ochiai,0.000172398931127,Artificial
sbfl opt2,0.000387897595035,Artificial
sbfl dstar2,0.000387897595035,Artificial
sbfl barinel,0.000387897595035,Artificial
sbfl tarantula,0.000387897595035,Artificial
sbfl ochiai,0.000387897595035,Artificial
mbfl muse,0.000843170320405,Artificial
mbfl ochiai,0.00632377740304,Artificial
sbfl opt2,0.00801011804384,Artificial
sbfl dstar2,0.00801011804384,Artificial
sbfl barinel,0.00801011804384,Artificial
sbfl tarantula,0.00801011804384,Artificial
sbfl ochiai,0.00801011804384,Artificial
mbfl muse,0.00238095238095,Artificial
mbfl ochiai,0.0190476190476,Artificial
sbfl opt2,0.0238095238095,Artificial
sbfl dstar2,0.0238095238095,Artificial
sbfl barinel,0.0238095238095,Artificial
sbfl tarantula,0.0238095238095,Artificial
sbfl ochiai,0.0238095238095,Artificial
mbfl muse,0.00198807157058,Artificial
mbfl ochiai,0.00159045725646,Artificial
sbfl opt2,0.00278330019881,Artificial
sbfl dstar2,0.00278330019881,Artificial
sbfl barinel,0.00954274353877,Artificial
sbfl tarantula,0.00954274353877,Artificial
sbfl ochiai,0.00278330019881,Artificial
mbfl muse,0.192664418212,Artificial
mbfl ochiai,0.0168634064081,Artificial
sbfl opt2,0.0172849915683,Artificial
sbfl dstar2,0.0172849915683,Artificial
sbfl barinel,0.0172849915683,Artificial
sbfl tarantula,0.0172849915683,Artificial
sbfl ochiai,0.0172849915683,Artificial
mbfl muse,0.212057335582,Real
mbfl ochiai,0.0139123102867,Real
sbfl opt2,0.00885328836425,Real
sbfl dstar2,0.00885328836425,Real
sbfl barinel,0.00885328836425,Real
sbfl tarantula,0.00885328836425,Real
sbfl ochiai,0.00885328836425,Real
mbfl muse,0.00405594405594,Real
mbfl ochiai,0.0207226107226,Real
sbfl opt2,0.16337995338,Real
sbfl dstar2,0.16337995338,Real
sbfl barinel,0.00594405594406,Real
sbfl tarantula,0.00594405594406,Real
sbfl ochiai,0.153403263403,Real
mbfl muse,0.0230769230769,Artificial
mbfl ochiai,0.0384615384615,Artificial
sbfl opt2,0.0461538461538,Artificial
sbfl dstar2,0.0461538461538,Artificial
sbfl barinel,0.0461538461538,Artificial
sbfl tarantula,0.0461538461538,Artificial
sbfl ochiai,0.0461538461538,Artificial
mbfl muse,0.0015243902439,Artificial
mbfl ochiai,0.0015243902439,Artificial
sbfl opt2,0.00381097560976,Artificial
sbfl dstar2,0.00381097560976,Artificial
sbfl barinel,0.00381097560976,Artificial
sbfl tarantula,0.00381097560976,Artificial
sbfl ochiai,0.00381097560976,Artificial
mbfl muse,0.00252951096121,Artificial
mbfl ochiai,0.00716694772344,Artificial
sbfl opt2,0.0206576728499,Artificial
sbfl dstar2,0.0206576728499,Artificial
sbfl barinel,0.0206576728499,Artificial
sbfl tarantula,0.0206576728499,Artificial
sbfl ochiai,0.0206576728499,Artificial
mbfl muse,0.219512195122,Real
mbfl ochiai,0.228658536585,Real
sbfl opt2,0.00228658536585,Real
sbfl dstar2,0.00228658536585,Real
sbfl barinel,0.0030487804878,Real
sbfl tarantula,0.0030487804878,Real
sbfl ochiai,0.00228658536585,Real
mbfl muse,0.540373467947,Real
mbfl ochiai,0.00119783534042,Real
sbfl opt2,0.000342238668692,Real
sbfl dstar2,0.00357211610447,Real
sbfl barinel,0.0160210476781,Real
sbfl tarantula,0.0160210476781,Real
sbfl ochiai,0.00370045560523,Real
mbfl muse,0.0230769230769,Artificial
mbfl ochiai,0.0307692307692,Artificial
sbfl opt2,0.0461538461538,Artificial
sbfl dstar2,0.0461538461538,Artificial
sbfl barinel,0.0461538461538,Artificial
sbfl tarantula,0.0461538461538,Artificial
sbfl ochiai,0.0461538461538,Artificial
mbfl muse,0.0037724898433,Artificial
mbfl ochiai,0.0208937899013,Artificial
sbfl opt2,0.0258270458503,Artificial
sbfl dstar2,0.0258270458503,Artificial
sbfl barinel,0.0258270458503,Artificial
sbfl tarantula,0.0258270458503,Artificial
sbfl ochiai,0.0258270458503,Artificial
mbfl muse,0.00400534045394,Artificial
mbfl ochiai,0.00400534045394,Artificial
sbfl opt2,0.00600801068091,Artificial
sbfl dstar2,0.00600801068091,Artificial
sbfl barinel,0.00667556742323,Artificial
sbfl tarantula,0.00667556742323,Artificial
sbfl ochiai,0.00600801068091,Artificial
mbfl muse,0.00238095238095,Artificial
mbfl ochiai,0.00595238095238,Artificial
sbfl opt2,0.0130952380952,Artificial
sbfl dstar2,0.0130952380952,Artificial
sbfl barinel,0.0130952380952,Artificial
sbfl tarantula,0.0130952380952,Artificial
sbfl ochiai,0.0130952380952,Artificial
mbfl muse,0.00200267022697,Artificial
mbfl ochiai,0.00133511348465,Artificial
sbfl opt2,0.763684913218,Artificial
sbfl dstar2,0.763684913218,Artificial
sbfl barinel,0.763684913218,Artificial
sbfl tarantula,0.763684913218,Artificial
sbfl ochiai,0.763684913218,Artificial
mbfl muse,0.263316404866,Artificial
mbfl ochiai,0.000236211172788,Artificial
sbfl opt2,0.00041336955238,Artificial
sbfl dstar2,0.00041336955238,Artificial
sbfl barinel,0.00041336955238,Artificial
sbfl tarantula,0.00041336955238,Artificial
sbfl ochiai,0.00041336955238,Artificial
mbfl muse,0.000116822429907,Artificial
mbfl ochiai,0.000584112149533,Artificial
sbfl opt2,0.000992990654206,Artificial
sbfl dstar2,0.000992990654206,Artificial
sbfl barinel,0.000992990654206,Artificial
sbfl tarantula,0.000992990654206,Artificial
